participant_id,fold,stratum,split_engine
B23.612e774f539a45b2e8aad19e,1,b_TUR,StratifiedKFold
B23.612e91f6654fd2227289c863,2,b_SPA,StratifiedKFold
B23.612fd01829bff13f1c15b831,2,c_noBRP,StratifiedKFold
B23.6137f0fd16807d840cc5bb1d,3,a_control,StratifiedKFold
B23.613a7b0fa0a22f28710fe2ef,2,a_control,StratifiedKFold
B23.61415e4e227ff90384f081c6,1,c_noFAR,StratifiedKFold
B23.6147970dcfd3a1be94292adb,3,b_BRP,StratifiedKFold
B23.614c1267826bcb89bd92e726,2,c_noFAR,StratifiedKFold
B23.614f58258eaf7063aa888d90,1,c_noBRP,StratifiedKFold
B23.615327ab3d238b032366a545,3,c_noSPA,StratifiedKFold
B23.6153b1a7b6f3b29384967d34,1,b_BRP,StratifiedKFold
B23.6153b5513ccada2d35fae508,1,a_control,StratifiedKFold
B23.6155e95c0808b015514b34e0,2,c_noFAR,StratifiedKFold
B23.61566cb36027fa2479dc5a1d,2,b_FAR,StratifiedKFold
B23.615ce4d0388d7ca055118747,1,b_TUR,StratifiedKFold
B23.615f2b3f0eafbabe579b889a,1,b_SPA,StratifiedKFold
B23.6163437195ee718c35a1610a,2,a_control,StratifiedKFold
B23.6164b61dfd9a3894cccab2a2,1,b_SPA,StratifiedKFold
B23.616c67fb68f7841abb442300,1,c_noBRP,StratifiedKFold
B23.616dac30fd433eb926c5ceaa,1,c_noTUR,StratifiedKFold
B23.617646d656a0115ca27ec794,1,c_noBRP,StratifiedKFold
B23.61bb387c40db417c1a138c75,1,b_SPA,StratifiedKFold
B23.62029b1eef1cb18a1337c797,3,c_noTUR,StratifiedKFold
