speaker_id,accent,file_word,source_filename,recording_id,real_audio_available,audio_sha256,tr24_feature_present,asr_screening
AN19.MIX.if3,MIX,wave,IF3hw74 wave.wav,AN19-rec-171b1f1d90022a3b4d5f,True,794f78dd78891f7251ef111135536efbb0925c9640e36c047ddabb733a7edd0f,True,
AN19.MIX.if4,MIX,wave,IF4hw74 wave.wav,AN19-rec-a4c05d9769c46b8af30f,True,ea840640c0fb8b6aa436a81dc077a04bcc4f6aafe0a59752c1f05021eb7e64c5,True,
AN19.MIX.if5,MIX,wave,if5hw74 wave.wav,AN19-rec-02c09ebb46e29890fecb,True,0fa05bcf4f16dd35004cca80a0e44827ffd1acfa1a4f01ea4a4bb7e57586583b,True,
AN19.MIX.if6,MIX,wave,IF6hw74 wave.wav,AN19-rec-eef244ba07f719bd1525,True,fe887c930fceb6d7cfa618d7e24442552558c7fbf43f47c4515644546def40d8,True,
AN19.MIX.im1,MIX,wave,im1hw74 wave.wav,AN19-rec-0801f940f62ab4148ece,True,acb86ff3a74150ba12cc8a8e43c818b7cdad3a3f558ff8d2e2e20f6b49520090,True,
AN19.MIX.im2,MIX,wave,im2hw74 wave.wav,AN19-rec-28d5e990490a3c3de91d,True,4bf4b73656f2885105d45c4708569221e67106e024ca00cdda2b740a6bd24f59,True,
AN19.MIX.im3,MIX,wave,im3hw74 wave.wav,AN19-rec-df87efc6d894a62d0e4c,True,3d2fdafef3004dd61f2a620f03959a1952f15ea7f17c7737fbe6a19e28b8f761,True,
AN19.MIX.im4,MIX,wave,im4hw74 wave.wav,AN19-rec-7040d028e18d36e0c6df,True,363948b5ed8d0ddce3c729f2ec16664600fe08f846f5ccf2744abffc21e51c26,True,
AN19.MIX.im5,MIX,wave,im5hw74 wave.wav,AN19-rec-99d841bc7ede91630567,True,d6d5786031af523ef04f446790b9155bae6a3228a174bef2ca71c834a241e088,True,
AN19.MIX.im6,MIX,wave,im6hw74 wave.wav,AN19-rec-76c7bbfc991a5c28b785,True,0f909da81340095bf8e7c514f47fdcaa6dc6a6966da167e0364ea1d014260a4d,True,
AN19.SPA.sf1,SPA,wave,sf1hw74 wave.wav,AN19-rec-0747cb43257e14ee1413,True,f8fb9369e6b7291495e54bebd74b5f16e284529f741a41e7bf0ff0d34eeadd34,True,
AN19.SPA.sf2,SPA,wave,sf2hw74 wave.wav,AN19-rec-56f69bef515088fdfde4,True,3a542f44a708fb8b7722e5349e5e7966ccd160d2667aa75e6ff734a7db71b5ce,True,
AN19.SPA.sf3,SPA,wave,sf3hw74 wave.wav,AN19-rec-8e530d6a31f8d9f05b43,True,05e6c080223c34ded573fdc6bee835de8ddf637aad08f388bdf258b89b9ee968,True,
AN19.SPA.sf4,SPA,wave,sf4hw74 wave.wav,AN19-rec-2bca8d526322df415e13,True,3fdc446cbfa073e7c8c366e4faccab392b7c924c72f14202cf4e20abb70c8842,True,
AN19.SPA.sf5,SPA,wave,sf5hw74 wave.wav,AN19-rec-73be300639c9d718ddb0,True,33fea0c38c2b6f6dee45e3b4c0529fac2a6e9e6a7a702fe7f5aa48a6ad04fd2c,True,
AN19.SPA.sf6,SPA,wave,sf6hw74 wave.wav,AN19-rec-4c65e9a52ac80ffc37b6,True,79d4cca20994d8156a48f86bc34e4c89eb54b2818cbcfc5cda7ca1fabd2a3959,True,
AN19.SPA.sm2,SPA,wave,sm2hw74 wave.wav,AN19-rec-03914582381f7088a0f9,True,c72c4e432ac0debf481a2297df8043563547daec34b43e2366056631a689fbd4,True,
AN19.SPA.sm3,SPA,wave,sm3hw74 wave.wav,AN19-rec-b127d277f36328adfae0,True,981691d1497fd8b652ef3b904ac1a329e9788b72a25effadda4da7ff7a257451,True,
AN19.SPA.sm4,SPA,wave,sm4hw74 wave.wav,AN19-rec-cdcec1ccde4dcb31d241,True,b5aebb2f6c310284d63b3fbd39268f6b55f57a1775874c01880f850776b3e8b5,True,"weight,"
AN19.SPA.sm5,SPA,wave,sm5hw74 wave.wav,AN19-rec-bd5020a87845ccd77c01,True,fc7efceecd11ddea129f72f6fa79659173ef65d7694632ad96c85a935be3f022,True,"weight,"
AN19.SPA.sm6,SPA,wave,sm6hw74 wave.wav,AN19-rec-2010ee64ed9a1bbae200,True,46d94fb3f3cfdac9970d012c1a84c1547e533619cb60dd764be6d8c06c9b2dea,True,
AN19.SPA.sm7,SPA,wave,sm7hw74 wave.wav,AN19-rec-dc259c23e83d70814297,True,2abf4d3246f6cf41f69dc62e2dc3ebb45af43d00ece340894674392cf83964a4,True,
