layer,fold,stage,status,optimized_k,note,n_cells,n_trials,n_participants,converged,singular,optimizer_code,convergence_messages,warnings,log_likelihood,elapsed_seconds
cnn_6,2,notebook_optuna_similarity_compatibility,complete,0.20885618981881046,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
cnn_6,3,notebook_optuna_similarity_compatibility,complete,0.7030370490436815,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_0,1,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_0,2,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_0,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_2,1,notebook_optuna_similarity_compatibility,complete,0.027340288194217743,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_2,2,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_2,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_4,1,notebook_optuna_similarity_compatibility,complete,1.1616590666051083,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_4,2,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_4,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_6,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_6,2,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_6,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_8,1,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_8,2,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_8,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_10,1,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_10,2,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_10,3,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_12,1,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_12,2,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_12,3,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_14,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_14,2,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_14,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_16,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_16,2,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_16,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_18,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_18,2,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_18,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_20,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_20,2,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_20,3,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_22,1,notebook_optuna_similarity_compatibility,complete,0.011450553933621337,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_22,2,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_22,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_24,1,notebook_optuna_similarity_compatibility,complete,0.04203988916437662,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_24,2,notebook_optuna_similarity_compatibility,complete,0.01697220958787298,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
tr_24,3,notebook_optuna_similarity_compatibility,complete,0.004696163979037417,legacy engine suppresses R warnings; exact notebook compatibility result,,,,,,,,,,
behavioral_ceiling,1,,,,,2592.0,2592.0,54.0,True,False,0.0,,,-890.794558422275,1.14
behavioral_ceiling,2,,,,,2544.0,2544.0,53.0,True,False,0.0,,,-860.216283799585,0.75
behavioral_ceiling,3,,,,,2544.0,2544.0,53.0,True,True,0.0,boundary (singular) fit: see help('isSingular'),,-904.550916969128,0.78
