participant_id,condition,fold,split_engine
B23.5c58e01e6f4ec5000164c35a,c_noSPA,1,StratifiedKFold
B23.5c6709ab926a5b0001eb29c1,b_SPA,2,StratifiedKFold
B23.5c9cf738902eb50016460dd2,b_FAR,2,StratifiedKFold
B23.5cb63178d946580001e4cef4,b_SPA,2,StratifiedKFold
B23.5cc0911796a3ca00011ddfcc,b_SPA,3,StratifiedKFold
B23.5cd1b38113a10a00013b9eaa,b_BRP,2,StratifiedKFold
B23.5d016916c12fb900015320ea,c_noSPA,2,StratifiedKFold
B23.5d01b9d4c9281200151c7c6b,c_noTUR,2,StratifiedKFold
B23.5d204134abea8100173fa8a4,c_noFAR,1,StratifiedKFold
B23.5d268981c22768000166c7c7,b_BRP,1,StratifiedKFold
B23.5d3dfb9322ed840001722278,c_noTUR,3,StratifiedKFold
B23.5d55d562e04e1c0001f5e682,b_FAR,1,StratifiedKFold
B23.5d5f07cdca10e90016bc0103,b_SPA,3,StratifiedKFold
B23.5d6394518df2870001a74b42,c_noTUR,1,StratifiedKFold
B23.5d67476c0ca617001699fe7a,c_noBRP,3,StratifiedKFold
B23.5d847ac9be4b0b00188463d7,c_noFAR,3,StratifiedKFold
B23.5d89a4e3241e9c0019e2592c,c_noFAR,1,StratifiedKFold
B23.5d9ae3ff9d2a700014869bcb,c_noFAR,2,StratifiedKFold
B23.5da7c6ecd11d560015a3d1da,c_noSPA,3,StratifiedKFold
B23.5dd4c2f2390fb648f7baf4d2,c_noBRP,3,StratifiedKFold
B23.5ddd7db419eecbce5c2dbc6f,a_control,3,StratifiedKFold
B23.5de7ccc24b7cf973d7b05bfb,c_noTUR,3,StratifiedKFold
B23.5dea9f92c3aca11bffec8b7e,b_FAR,1,StratifiedKFold
B23.5dfac1ba83907981767ce907,b_FAR,2,StratifiedKFold
B23.5e0e1b8800a6bf000a694f79,b_BRP,2,StratifiedKFold
B23.5e147a28de8da6a8f013acf6,c_noBRP,1,StratifiedKFold
B23.5e2c9026f4a3052be159c494,b_BRP,1,StratifiedKFold
B23.5e2f15bb8028224dd1dd90c9,c_noTUR,2,StratifiedKFold
B23.5e49da75ea0f3c4553a9e3b2,b_SPA,1,StratifiedKFold
B23.5e555e3152f93b5508f5bc16,a_control,1,StratifiedKFold
B23.5e63e793e50a6316a75213c4,b_BRP,3,StratifiedKFold
B23.5e6784bc622ffe000c766b4b,c_noBRP,2,StratifiedKFold
B23.5e680c9f65bd0b0be56430a4,b_FAR,2,StratifiedKFold
B23.5e683c4d6ca0f9000d3f35fe,a_control,2,StratifiedKFold
B23.5e70bf61017e070009a8a738,c_noBRP,3,StratifiedKFold
B23.5e77b301a4d61d32c335e5bf,b_SPA,3,StratifiedKFold
B23.5e89ce643ac81466c24cb5d8,c_noBRP,1,StratifiedKFold
B23.5e8a5d007022a071a5ca9673,b_TUR,2,StratifiedKFold
B23.5e992379f1bb6715d48226e0,c_noFAR,1,StratifiedKFold
B23.5ea47210b166de41ed7b1d92,c_noTUR,3,StratifiedKFold
B23.5eac968d6c144d2fd7fb1aa0,b_FAR,3,StratifiedKFold
B23.5ec58d7f3892d95b70e4c264,a_control,1,StratifiedKFold
B23.5ee29af522f48c185064d5fd,a_control,3,StratifiedKFold
B23.5ee9201596dd421333942d06,b_TUR,3,StratifiedKFold
B23.5eeb300af2c6c40186eadb3d,b_FAR,3,StratifiedKFold
B23.5ef51de92a8ed116654bc910,c_noTUR,3,StratifiedKFold
B23.5f1091aa4bd173363a9700ec,b_TUR,2,StratifiedKFold
B23.5f121091e95fdc03b5e897d0,c_noFAR,2,StratifiedKFold
B23.5f1bd40c26afde3f626ad42f,b_SPA,2,StratifiedKFold
B23.5f24629d239fcb02d69a18d1,b_BRP,3,StratifiedKFold
B23.5f2a5f187bf471245f7dc096,c_noTUR,2,StratifiedKFold
B23.5f2aeb9e0f60154413ed7f5e,c_noBRP,3,StratifiedKFold
B23.5f3441525cafc1321ef51ac0,c_noBRP,2,StratifiedKFold
B23.5f3d6975ef131710ed519c7a,c_noFAR,2,StratifiedKFold
B23.5f4d2b4e6432ef9adfc1ec1f,b_TUR,1,StratifiedKFold
B23.5f50468c0868af1baaec306c,b_TUR,1,StratifiedKFold
B23.5f5108ff8ba7012cb2446667,c_noBRP,3,StratifiedKFold
B23.5f51587f36e91f38fbf34c23,c_noSPA,1,StratifiedKFold
B23.5f527a5a4af6f352d28b53e8,b_SPA,1,StratifiedKFold
B23.5f5797c54d47e72494ff5840,b_SPA,2,StratifiedKFold
B23.5f59240bb8f9f213462a8609,b_FAR,3,StratifiedKFold
B23.5f62bff03a4958215b85d8bf,c_noBRP,2,StratifiedKFold
B23.5f7e6f9c1212c514f9437e3a,c_noSPA,2,StratifiedKFold
B23.5f898a035298a803c5a7b8d1,b_BRP,2,StratifiedKFold
B23.5f9470fc5f7ebd2a762c51bc,b_BRP,1,StratifiedKFold
B23.5f974c72a0ed8c0f9ce724ea,a_control,1,StratifiedKFold
B23.5fac4559a8254b1d0327266f,b_BRP,2,StratifiedKFold
B23.5fbc4e782d326110c363e0d0,c_noSPA,3,StratifiedKFold
B23.5fe1bda08bcb1fc65fe89d91,a_control,3,StratifiedKFold
B23.5fe8f1750a5e7f81a7f8adc9,c_noBRP,3,StratifiedKFold
B23.5ff08e9ffeba31f71a352849,c_noSPA,1,StratifiedKFold
B23.5fff3a91a72ac8000924258f,c_noSPA,2,StratifiedKFold
B23.5fffdc5f626a1e1582ab6b9e,b_BRP,3,StratifiedKFold
B23.600b0ea1effefd0cb3547464,c_noSPA,2,StratifiedKFold
B23.60117b3ebffa1106c0aa3109,b_FAR,1,StratifiedKFold
B23.60135474a4e4aa23098da94c,b_FAR,3,StratifiedKFold
B23.601606098a88c4772f7db43c,a_control,3,StratifiedKFold
B23.6021522cc0eec00d2e4ab6c7,c_noBRP,2,StratifiedKFold
B23.60242cd64254c909707a5b0d,c_noFAR,2,StratifiedKFold
B23.60306cf6330619ee41fa3cd2,b_SPA,3,StratifiedKFold
B23.605134897eb2ce8a9eb367f9,c_noFAR,3,StratifiedKFold
B23.6057983f31d70d1bd35fb9f1,a_control,2,StratifiedKFold
B23.606e3ddf19540080228e3a0c,b_FAR,3,StratifiedKFold
B23.607134f478e13587bd89e13a,b_TUR,1,StratifiedKFold
B23.60721a45b75cb8f4b00abd05,c_noTUR,1,StratifiedKFold
B23.6075286560a96bfb1d481f1a,b_BRP,1,StratifiedKFold
B23.6081adb85a8992a84093ed21,c_noBRP,2,StratifiedKFold
B23.6082364d2e1e97775624672b,b_FAR,2,StratifiedKFold
B23.608c75be6bf5ca1f23ab35ad,b_TUR,2,StratifiedKFold
B23.6093ee33a9c33e59d651e83c,c_noSPA,3,StratifiedKFold
B23.609ac8ca9e4928ec75d40a10,b_TUR,2,StratifiedKFold
B23.60a48adfe091e410f4eaba34,c_noSPA,1,StratifiedKFold
B23.60a877548e684d43854de84d,c_noTUR,3,StratifiedKFold
B23.60b788ecd24b27bb39298936,b_SPA,2,StratifiedKFold
B23.60b8def92795f624f7d29e84,b_TUR,2,StratifiedKFold
B23.60bff9298f56d55c8ecd9adf,b_TUR,3,StratifiedKFold
B23.60ce59526a88034d7e9456d1,a_control,2,StratifiedKFold
B23.60d2201d6d8c5564a26eb585,b_SPA,3,StratifiedKFold
B23.60dc0185764ae8cd7fd829b7,b_SPA,3,StratifiedKFold
B23.60dfaf59c0c7432bf3252aad,b_TUR,2,StratifiedKFold
B23.60fc80438d1b17dd670e56f5,a_control,3,StratifiedKFold
B23.60fcbe2b7b4649ea3cec1ab3,b_BRP,2,StratifiedKFold
B23.60fcd9699c3def3068403b90,c_noSPA,2,StratifiedKFold
B23.60fcdd3be2ae9576df065728,a_control,1,StratifiedKFold
B23.60fd55f559e7795b518f7438,a_control,2,StratifiedKFold
B23.60fd5a99c4e4ead0c9a6fff4,c_noTUR,2,StratifiedKFold
B23.60fd6b02340bf3233276eba9,c_noTUR,1,StratifiedKFold
B23.60fd6e6d7b35102b8ca961a5,b_FAR,1,StratifiedKFold
B23.60fda6c3daea14c8cf2b91cc,a_control,1,StratifiedKFold
B23.60fdccdbb63680c35c2dc61d,c_noTUR,2,StratifiedKFold
B23.60feb622ae107ad3083ebde6,c_noBRP,3,StratifiedKFold
B23.60ff22120e009909e207ae02,a_control,2,StratifiedKFold
B23.60ff348b2ff466e4d1feca5d,c_noBRP,1,StratifiedKFold
B23.60ff36e7d5b5bc741be0d68c,b_SPA,2,StratifiedKFold
B23.60ff674ee503c8c1e2be7dc4,b_BRP,2,StratifiedKFold
B23.6100073943fa0309e141f522,a_control,3,StratifiedKFold
B23.6100107905b3a4acb93edba5,b_FAR,2,StratifiedKFold
B23.61007de25d1a5d74904865cd,c_noSPA,3,StratifiedKFold
B23.61008085f6f279b358ee6de8,c_noSPA,2,StratifiedKFold
B23.6101122085410e70ca020a04,c_noTUR,2,StratifiedKFold
B23.610189e61b2d3520eea21de6,c_noSPA,3,StratifiedKFold
B23.610309d6b51e8a9a5da8a6f4,b_FAR,1,StratifiedKFold
B23.6103664b32254e61282aaf0f,b_FAR,3,StratifiedKFold
B23.6103784160176523a4624d07,c_noTUR,1,StratifiedKFold
B23.610434dbaa187bfdbe2e8ac9,c_noFAR,1,StratifiedKFold
B23.61043b60a51b98f553798e80,c_noBRP,1,StratifiedKFold
B23.6107b8ea737fb20c06bb6186,c_noFAR,3,StratifiedKFold
B23.6109fdadfd549d6d9d6fbf9a,b_TUR,3,StratifiedKFold
B23.610a06e8748af0a8facb9a40,b_SPA,3,StratifiedKFold
B23.610cedfc867afaeac6af0954,a_control,3,StratifiedKFold
B23.6110af6c0c1dd851739f2fa2,a_control,1,StratifiedKFold
B23.6110b51bf43f377f957c80df,c_noSPA,2,StratifiedKFold
B23.611131e47725f6a04c723651,c_noBRP,2,StratifiedKFold
B23.611195657110219178aa70e1,a_control,1,StratifiedKFold
B23.6111e8da3cc21b460abeefe9,c_noSPA,1,StratifiedKFold
B23.611605de0a30eebef2479dc3,c_noFAR,3,StratifiedKFold
B23.6116876a64aadf8649c181a8,c_noFAR,1,StratifiedKFold
B23.611ea4971bd5f93c68cc56f3,b_FAR,1,StratifiedKFold
B23.611f1751f8fd84c3ba826634,c_noFAR,3,StratifiedKFold
B23.61252d103b9edeb2ef026830,b_TUR,2,StratifiedKFold
B23.61281debe85082cc937dd9ae,b_BRP,2,StratifiedKFold
B23.612d890c774262d7afe06380,b_BRP,3,StratifiedKFold
B23.612e774f539a45b2e8aad19e,b_TUR,1,StratifiedKFold
B23.612e91f6654fd2227289c863,b_SPA,2,StratifiedKFold
B23.612fd01829bff13f1c15b831,c_noBRP,2,StratifiedKFold
B23.6137f0fd16807d840cc5bb1d,a_control,3,StratifiedKFold
B23.613a7b0fa0a22f28710fe2ef,a_control,2,StratifiedKFold
B23.61415e4e227ff90384f081c6,c_noFAR,1,StratifiedKFold
B23.6147970dcfd3a1be94292adb,b_BRP,3,StratifiedKFold
B23.614c1267826bcb89bd92e726,c_noFAR,2,StratifiedKFold
B23.614f58258eaf7063aa888d90,c_noBRP,1,StratifiedKFold
B23.615327ab3d238b032366a545,c_noSPA,3,StratifiedKFold
B23.6153b1a7b6f3b29384967d34,b_BRP,1,StratifiedKFold
B23.6153b5513ccada2d35fae508,a_control,1,StratifiedKFold
B23.6155e95c0808b015514b34e0,c_noFAR,2,StratifiedKFold
B23.61566cb36027fa2479dc5a1d,b_FAR,2,StratifiedKFold
B23.615ce4d0388d7ca055118747,b_TUR,1,StratifiedKFold
B23.615f2b3f0eafbabe579b889a,b_SPA,1,StratifiedKFold
B23.6163437195ee718c35a1610a,a_control,2,StratifiedKFold
B23.6164b61dfd9a3894cccab2a2,b_SPA,1,StratifiedKFold
B23.616c67fb68f7841abb442300,c_noBRP,1,StratifiedKFold
B23.616dac30fd433eb926c5ceaa,c_noTUR,1,StratifiedKFold
B23.617646d656a0115ca27ec794,c_noBRP,1,StratifiedKFold
B23.61bb387c40db417c1a138c75,b_SPA,1,StratifiedKFold
B23.62029b1eef1cb18a1337c797,c_noTUR,3,StratifiedKFold
